
==================================================
  Node C — Actuator Control (Host Fallback)
==================================================
  Listening: 0.0.0.0:5002
  Debounce: 2 consecutive STOP within 2000ms
  Watchdog: failsafe after 3000ms silence
  Results: finalresults\hybrid_fp16_baseline
  Press Ctrl+C to stop.


  *** WATCHDOG FAILSAFE *** No packet in 3054ms — triggering emergency stop

  nodeC: recv #15756 cmd=STOP conf=0.382
  nodeC: recv #15758 cmd=STOP conf=0.384

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15758 conf=0.384) (processing=30.7ms)

  nodeC: recv #15760 cmd=STOP conf=0.377
  nodeC: recv #15762 cmd=STOP conf=0.377

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15762 conf=0.377) (processing=0.1ms)

  nodeC: recv #15764 cmd=STOP conf=0.384
  nodeC: recv #15766 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15766 conf=0.382) (processing=0.1ms)

  nodeC: recv #15768 cmd=STOP conf=0.382
  nodeC: recv #15770 cmd=STOP conf=0.384
  *** ACTUATOR: EMERGENCY_STOP *** (seq=15770 conf=0.384) (processing=0.2ms)


  nodeC: recv #15772 cmd=STOP conf=0.382
  nodeC: recv #15774 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15774 conf=0.386) (processing=31.3ms)

  nodeC: recv #15776 cmd=STOP conf=0.371
  nodeC: recv #15778 cmd=STOP conf=0.377

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15778 conf=0.377) (processing=31.5ms)

  nodeC: recv #15781 cmd=STOP conf=0.377
  nodeC: recv #15784 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15784 conf=0.386) (processing=31.2ms)

  nodeC: recv #15786 cmd=STOP conf=0.371
  nodeC: recv #15789 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15789 conf=0.386) (processing=30.4ms)

  nodeC: recv #15791 cmd=STOP conf=0.382
  nodeC: recv #15793 cmd=STOP conf=0.384

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15793 conf=0.384) (processing=30.1ms)

  nodeC: recv #15796 cmd=STOP conf=0.384
  nodeC: recv #15798 cmd=STOP conf=0.384

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15798 conf=0.384) (processing=0.2ms)

  nodeC: recv #15801 cmd=STOP conf=0.377
  nodeC: recv #15803 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15803 conf=0.386) (processing=0.2ms)

  nodeC: recv #15805 cmd=STOP conf=0.386
  nodeC: recv #15808 cmd=STOP conf=0.377
  *** ACTUATOR: EMERGENCY_STOP *** (seq=15808 conf=0.377) (processing=0.1ms)


  nodeC: recv #15811 cmd=STOP conf=0.384
  nodeC: recv #15814 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15814 conf=0.386) (processing=31.6ms)

  nodeC: recv #15816 cmd=STOP conf=0.382
  nodeC: recv #15819 cmd=STOP conf=0.371

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15819 conf=0.371) (processing=0.2ms)

  nodeC: recv #15821 cmd=STOP conf=0.384
  nodeC: recv #15823 cmd=STOP conf=0.382
  *** ACTUATOR: EMERGENCY_STOP *** (seq=15823 conf=0.382) (processing=0.2ms)


  nodeC: recv #15825 cmd=STOP conf=0.382
  nodeC: recv #15828 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15828 conf=0.382) (processing=30.6ms)

  nodeC: recv #15832 cmd=STOP conf=0.377
  nodeC: recv #15835 cmd=STOP conf=0.377

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15835 conf=0.377) (processing=31.3ms)

  nodeC: recv #15837 cmd=STOP conf=0.386
  nodeC: recv #15840 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15840 conf=0.386) (processing=31.7ms)

  nodeC: recv #15843 cmd=STOP conf=0.386
  nodeC: recv #15846 cmd=STOP conf=0.384

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15846 conf=0.384) (processing=30.1ms)

  nodeC: recv #15849 cmd=STOP conf=0.382
  nodeC: recv #15851 cmd=STOP conf=0.371
  *** ACTUATOR: EMERGENCY_STOP *** (seq=15851 conf=0.371) (processing=0.1ms)


  nodeC: recv #15853 cmd=STOP conf=0.386
  nodeC: recv #15855 cmd=STOP conf=0.377
  *** ACTUATOR: EMERGENCY_STOP *** (seq=15855 conf=0.377) (processing=0.1ms)


  nodeC: recv #15858 cmd=STOP conf=0.384
  nodeC: recv #15861 cmd=STOP conf=0.386
  *** ACTUATOR: EMERGENCY_STOP *** (seq=15861 conf=0.386) (processing=0.1ms)


  nodeC: recv #15863 cmd=STOP conf=0.386
  nodeC: recv #15865 cmd=STOP conf=0.371
  *** ACTUATOR: EMERGENCY_STOP *** (seq=15865 conf=0.371) (processing=0.1ms)


  nodeC: recv #15867 cmd=STOP conf=0.382
  nodeC: recv #15870 cmd=STOP conf=0.384

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15870 conf=0.384) (processing=31.4ms)

  nodeC: recv #15873 cmd=STOP conf=0.386
  nodeC: recv #15876 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15876 conf=0.386) (processing=0.1ms)

  nodeC: recv #15878 cmd=STOP conf=0.386
  nodeC: recv #15880 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15880 conf=0.382) (processing=31.3ms)

  nodeC: recv #15884 cmd=STOP conf=0.382
  nodeC: recv #15886 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15886 conf=0.386) (processing=31.4ms)

  nodeC: recv #15888 cmd=STOP conf=0.377
  nodeC: recv #15891 cmd=STOP conf=0.382
  *** ACTUATOR: EMERGENCY_STOP *** (seq=15891 conf=0.382) (processing=0.2ms)


  nodeC: recv #15894 cmd=STOP conf=0.384
  nodeC: recv #15896 cmd=STOP conf=0.384

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15896 conf=0.384) (processing=30.3ms)

  nodeC: recv #15898 cmd=STOP conf=0.371
  nodeC: recv #15901 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15901 conf=0.386) (processing=30.8ms)

  nodeC: recv #15903 cmd=STOP conf=0.377
  nodeC: recv #15907 cmd=STOP conf=0.377
  *** ACTUATOR: EMERGENCY_STOP *** (seq=15907 conf=0.377) (processing=0.1ms)


  nodeC: recv #15909 cmd=STOP conf=0.382
  nodeC: recv #15912 cmd=STOP conf=0.384
  *** ACTUATOR: EMERGENCY_STOP *** (seq=15912 conf=0.384) (processing=0.1ms)


  nodeC: recv #15915 cmd=STOP conf=0.371
  nodeC: recv #15917 cmd=STOP conf=0.382
  *** ACTUATOR: EMERGENCY_STOP *** (seq=15917 conf=0.382) (processing=0.1ms)


  nodeC: recv #15920 cmd=STOP conf=0.384
  nodeC: recv #15923 cmd=STOP conf=0.371

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15923 conf=0.371) (processing=31.6ms)

  nodeC: recv #15926 cmd=STOP conf=0.382
  nodeC: recv #15928 cmd=STOP conf=0.382
  *** ACTUATOR: EMERGENCY_STOP *** (seq=15928 conf=0.382) (processing=0.1ms)


  nodeC: recv #15931 cmd=STOP conf=0.382
  nodeC: recv #15934 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15934 conf=0.386) (processing=31.1ms)

  nodeC: recv #15937 cmd=STOP conf=0.382
  nodeC: recv #15940 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15940 conf=0.386) (processing=31.6ms)

  nodeC: recv #15942 cmd=STOP conf=0.386
  nodeC: recv #15944 cmd=STOP conf=0.371

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15944 conf=0.371) (processing=0.1ms)

  nodeC: recv #15947 cmd=STOP conf=0.382
  nodeC: recv #15950 cmd=STOP conf=0.384
  *** ACTUATOR: EMERGENCY_STOP *** (seq=15950 conf=0.384) (processing=0.2ms)


  nodeC: recv #15952 cmd=STOP conf=0.386
  nodeC: recv #15956 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15956 conf=0.386) (processing=0.2ms)

  nodeC: recv #15958 cmd=STOP conf=0.377
  nodeC: recv #15960 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15960 conf=0.386) (processing=31.2ms)

  nodeC: recv #15963 cmd=STOP conf=0.382
  nodeC: recv #15965 cmd=STOP conf=0.384
  *** ACTUATOR: EMERGENCY_STOP *** (seq=15965 conf=0.384) (processing=0.1ms)


  nodeC: recv #15968 cmd=STOP conf=0.382
  nodeC: recv #15971 cmd=STOP conf=0.377
  *** ACTUATOR: EMERGENCY_STOP *** (seq=15971 conf=0.377) (processing=0.1ms)


  nodeC: recv #15974 cmd=STOP conf=0.382
  nodeC: recv #15977 cmd=STOP conf=0.382
  *** ACTUATOR: EMERGENCY_STOP *** (seq=15977 conf=0.382) (processing=0.1ms)


  nodeC: recv #15980 cmd=STOP conf=0.382
  nodeC: recv #15982 cmd=STOP conf=0.382
  *** ACTUATOR: EMERGENCY_STOP *** (seq=15982 conf=0.382) (processing=0.2ms)


  nodeC: recv #15985 cmd=STOP conf=0.377
  nodeC: recv #15987 cmd=STOP conf=0.382
  *** ACTUATOR: EMERGENCY_STOP *** (seq=15987 conf=0.382) (processing=0.1ms)


  nodeC: recv #15990 cmd=STOP conf=0.382
  nodeC: recv #15993 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15993 conf=0.382) (processing=31.8ms)

  nodeC: recv #15995 cmd=STOP conf=0.382
  nodeC: recv #15997 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15997 conf=0.386) (processing=30.6ms)

  nodeC: recv #16000 cmd=STOP conf=0.386
  nodeC: recv #16002 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16002 conf=0.386) (processing=30.6ms)

  nodeC: recv #16005 cmd=STOP conf=0.386
  nodeC: recv #16008 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16008 conf=0.382) (processing=30.7ms)

  nodeC: recv #16011 cmd=STOP conf=0.382
  nodeC: recv #16014 cmd=STOP conf=0.377
  *** ACTUATOR: EMERGENCY_STOP *** (seq=16014 conf=0.377) (processing=0.1ms)


  nodeC: recv #16016 cmd=STOP conf=0.386
  nodeC: recv #16019 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16019 conf=0.386) (processing=31.1ms)

  nodeC: recv #16021 cmd=STOP conf=0.377
  nodeC: recv #16024 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16024 conf=0.382) (processing=30.7ms)

  nodeC: recv #16026 cmd=STOP conf=0.386
  nodeC: recv #16029 cmd=STOP conf=0.371

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16029 conf=0.371) (processing=30.7ms)

  nodeC: recv #16032 cmd=STOP conf=0.384
  nodeC: recv #16034 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16034 conf=0.386) (processing=31.1ms)

  nodeC: recv #16037 cmd=STOP conf=0.386
  nodeC: recv #16039 cmd=STOP conf=0.377
  *** ACTUATOR: EMERGENCY_STOP *** (seq=16039 conf=0.377) (processing=0.2ms)


  nodeC: recv #16041 cmd=STOP conf=0.386
  nodeC: recv #16043 cmd=STOP conf=0.371

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16043 conf=0.371) (processing=30.2ms)

  nodeC: recv #16046 cmd=STOP conf=0.386
  nodeC: recv #16048 cmd=STOP conf=0.382
  *** ACTUATOR: EMERGENCY_STOP *** (seq=16048 conf=0.382) (processing=0.2ms)


  nodeC: recv #16051 cmd=STOP conf=0.386
  nodeC: recv #16053 cmd=STOP conf=0.371

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16053 conf=0.371) (processing=31.3ms)

  nodeC: recv #16055 cmd=STOP conf=0.382
  nodeC: recv #16057 cmd=STOP conf=0.382

